# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Tue Jul 01 10:53:28 EDT 2025 [seed=1751381601038]
# -save_every 100000 -save_state r1 -prefix r1_ -beagle_GPU -beagle_SSE -beagle_cuda ha_sc_gtrfg4i.xml
state	joint	prior	likelihood	rootHeight	treeLength	tmrca(gr21)	tmrca(gr22)	tmrca(prespa22)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	pInv	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
53480000	-60482.610316765466	-13798.900993606387	-46683.70932315908	4.3367506824184945	370.05526853597485	1.6251183641435507	0.4808124840789801	0.4808124840789801	8.755055341513188	0.4262028001691445	2.171455999799457	0.23523658972746891	0.04601689583258615	2.823882451887074	0.297205262584262	0.6442807712517876	0.9709203464386432	0.009121984330274177	0.009121984330274174	-46683.70932315908	0.0	-13784.60956766027
53520000	-60515.141413360296	-13860.071442829	-46655.069970531295	4.346881283535793	372.7438649394529	1.6253588697314563	0.4808185945531502	0.4808185945531502	8.861664269282397	0.36795220955980323	2.229706590408798	0.23523658972746891	0.04601689583258615	2.823882451887074	0.297205262584262	0.6056544319745983	0.9709203464386432	0.009040743633422974	0.009040743633423002	-46655.069970531295	0.0	-13845.858920919392
53560000	-60479.253935098866	-13747.148006695032	-46732.105928403835	4.446352327186961	369.1803535614507	1.5915037593296326	0.5140016956728178	0.5140016956728178	8.610182880762306	0.36827019006158	2.226887374692676	0.23523658972746891	0.04601689583258615	2.8263836871014196	0.297205262584262	0.5987917832730972	0.9936846004435766	0.009404279362066089	0.009404279362066049	-46732.105928403835	0.0	-13732.851713541928
53600000	-60530.63097975597	-13762.927016375446	-46767.703963380525	4.6263231430959975	371.1589225347028	1.6171299369250531	0.5133390386371467	0.5133390386371467	8.5333891007409	0.40477444253786155	2.0226004287132127	0.23523658972746891	0.04601689583258615	2.996198645647256	0.2951729975416077	0.5796494880185751	0.9573415478867294	0.008883739539991772	0.008883739539991772	-46767.703963380525	0.0	-13748.883774240026
53640000	-60421.44587157811	-13753.282877322983	-46668.16299425512	4.474659847006871	369.6639477232325	1.5898380297237082	0.4985796368136434	0.48131769143296	8.567311080260206	0.43815772361304056	2.0226004287132127	0.2018533086522899	0.04601689583258615	2.996198645647256	0.2951729975416077	0.6581305209403967	0.9869856900406184	0.009370768445840163	0.009370768445840175	-46668.16299425512	0.0	-13738.883215526957
53680000	-60507.101884700896	-13772.183795066961	-46734.91808963393	4.208184699421776	368.589427208028	1.6519825712773264	0.49856709681963574	0.49856709681963574	8.528162799660702	0.43815772361304056	2.0962029987850443	0.2018533086522899	0.04601689583258615	2.923263153340399	0.2945059197766327	0.5405198418140051	0.9282580699866646	0.00900252397578964	0.00900252397578961	-46734.91808963393	0.0	-13758.18835883628
53720000	-60406.39606223315	-13708.593619311565	-46697.80244292159	4.41629185378714	366.0704154228281	1.6358024009084198	0.5263944896044686	0.5263944896044686	8.38070847764986	0.43815772361304056	2.0962029987850443	0.2018533086522899	0.04601689583258615	2.923263153340399	0.2945059197766327	0.6094410528018752	0.9664742352556149	0.009326338016278348	0.009326338016278352	-46697.80244292159	0.0	-13694.360953339423
53760000	-60471.3930679172	-13767.302299143368	-46704.09076877383	4.140417708302946	370.30428158241114	1.6103184211415176	0.5263923184073881	0.5263923184073881	9.018351997371218	0.43815772361304056	2.0962029987850443	0.2018533086522899	0.04601689583258615	2.923263153340399	0.2945059197766327	0.6268830638756996	0.941293130547887	0.009595762002131351	0.009595762002131348	-46704.09076877383	0.0	-13752.813110476529
53800000	-60572.06503674404	-13815.23042426026	-46756.83461248378	3.973045730851623	371.08140525903434	1.613677458623461	0.4945336602634061	0.4945336602634061	8.793877235866548	0.42949038758859764	2.0633254388094895	0.2018533086522899	0.04601689583258615	2.956140713315954	0.3031732558010756	0.6268830638756996	0.9327317545934318	0.008953999063656059	0.008953999063656083	-46756.83461248378	0.0	-13801.032988811327
53840000	-60555.964222052564	-13816.833187559845	-46739.13103449272	4.012425588357324	371.64333485739655	1.6087154661297651	0.4852273090517899	0.4852273090517899	8.635682128489774	0.42949038758859764	2.0759170160582587	0.1892617314035206	0.04601689583258615	2.956140713315954	0.3031732558010756	0.5757291882633092	0.9854776322448614	0.008493957542894089	0.008493957542894085	-46739.13103449272	0.0	-13802.949421948118
53880000	-60561.55541193152	-13876.183633832548	-46685.371778098975	4.087011536020465	374.62478818665465	1.6753416598388473	0.4852274834519924	0.48238286870753133	8.888803551398558	0.3772259318145125	2.0789562409829516	0.1892617314035206	0.04601689583258615	3.008405169090039	0.3001340308763827	0.5757291882633092	0.9621865995656985	0.008999897966166617	0.008999897966166572	-46685.371778098975	0.0	-13862.030958142863
53920000	-60614.09382824774	-13873.931893907364	-46740.16193434037	4.302052054451974	376.1185893590534	1.705183899204804	0.49841361407925266	0.49841361407925266	8.803932031230618	0.3866635414839933	2.0259208753629965	0.1892617314035206	0.04601689583258615	3.0520029250405134	0.3001340308763827	0.551718867584943	0.9528270397999471	0.008597725458897757	0.008597725458897773	-46740.16193434037	0.0	-13859.999576189966
53960000	-60544.717757570936	-13824.032731237949	-46720.68502633298	4.3495243150876295	374.51007883067143	1.5919785673924318	0.501458313494365	0.501458313494365	8.79444851857599	0.3866635414839933	2.0259208753629965	0.1892617314035206	0.04601689583258615	3.0520029250405134	0.3001340308763827	0.6226437739076238	0.9146587436167373	0.009125554954893436	0.009125554954893431	-46720.68502633298	0.0	-13809.743868548894
54000000	-60488.18992734418	-13847.175272904378	-46641.0146544398	4.616981443622082	375.1263649252793	1.614140833105952	0.5010983431647192	0.5010983431647192	8.756680978823338	0.3866635414839933	2.0610281821359933	0.1940562479226874	0.04122237931341932	3.0168956182675166	0.3001340308763827	0.675377964884144	0.9982680961779126	0.009083476269573723	0.009083476269573782	-46641.0146544398	0.0	-13832.798572878202
54040000	-60497.9039792117	-13815.817145538676	-46682.08683367302	4.30165801490238	372.90152028428537	1.60383370207617	0.47306054844885287	0.47306054844885287	8.669007184836369	0.37648725326249877	2.071977550189035	0.1940562479226874	0.04122237931341932	3.0168956182675166	0.2993609510448355	0.6130065141150841	0.9736522717939858	0.009069139305931895	0.009069139305931877	-46682.08683367302	0.0	-13801.598699813547
54080000	-60570.1770349096	-13900.861447340154	-46669.31558756944	4.227347133076578	377.16395961417663	1.594154041234001	0.47467623821035865	0.47467623821035865	9.190052631324116	0.37648725326249877	2.071977550189035	0.196045328216273	0.04122237931341932	3.014906537973931	0.2993609510448355	0.5855177989413543	0.947234235842315	0.0084956567272647	0.008495656727264695	-46669.31558756944	0.0	-13886.855133250861
54120000	-60577.28778408393	-13866.633597192873	-46710.65418689106	4.641054540334112	376.2860578869977	1.6251380174706502	0.4770935016232405	0.4770935016232405	8.776708201153049	0.37648725326249877	2.1271061510795017	0.196045328216273	0.04122237931341932	2.9597779370834645	0.2993609510448355	0.7255468627676195	0.9885477711080137	0.009669013492113661	0.009669013492113654	-46710.65418689106	0.0	-13851.893702316496
54160000	-60513.528805028676	-13777.139721287738	-46736.38908374094	4.441536204887747	371.00939130155075	1.6052081669147586	0.47709598310923035	0.47709598310923035	8.692259783620822	0.4362952147265719	2.126612364833218	0.21030392635179276	0.05075125199463787	2.8766762910489367	0.2993609510448355	0.6055153906315548	0.9568385686423713	0.009144465147709438	0.00914446514770941	-46736.38908374094	0.0	-13762.916092736501
54200000	-60404.47079280683	-13753.22913830167	-46651.24165450516	4.262680176172565	371.0272763939096	1.6303265481530305	0.48681552371547554	0.48681552371547554	8.550565520900433	0.4260721111330303	2.1878725575910787	0.2205270299453344	0.05075125199463787	2.815416098291076	0.2993609510448355	0.6188536646027	0.9487012207462983	0.009341661273173082	0.009341661273173062	-46651.24165450516	0.0	-13738.911421744764
54240000	-60397.60894845702	-13703.787476546006	-46693.82147191101	4.470412773596235	367.9200406910298	1.6236048493624484	0.5186822029372355	0.5186822029372355	8.56676997017422	0.42738961422457206	2.1878725575910787	0.2205270299453344	0.05075125199463787	2.819428134553981	0.29403141169038866	0.6222563325656516	0.9533276688002683	0.009165305045120824	0.009165305045120748	-46693.82147191101	0.0	-13689.560283233286
54280000	-60518.0746662732	-13815.261634946992	-46702.81303132621	4.4731722808751595	372.25098084372877	1.6163961542673213	0.5177237430389644	0.5177237430389644	8.683869282811411	0.3675266991055958	2.1998752859098714	0.20852430162654162	0.05075125199463787	2.879291049672957	0.29403141169038866	0.6257548533108388	0.9790054281137667	0.009251711845786917	0.009251711845786945	-46702.81303132621	0.0	-13800.943064847788
54320000	-60550.934202558004	-13869.258427043527	-46681.67577551448	4.487374887674334	374.4828517615095	1.5912383611150696	0.5203581076110341	0.5203581076110341	8.935070764533906	0.3675266991055958	2.156814610143575	0.20798322131027608	0.05075125199463787	2.887265825934187	0.329658391511721	0.6046501832668817	0.9205265817755378	0.00909776718858663	0.009097767188586682	-46681.67577551448	0.0	-13855.001706380703
54360000	-60536.60018322704	-13845.120590803333	-46691.479592423704	4.675357272952248	373.777636476092	1.593071391525282	0.49255136386284964	0.49255136386284964	8.777776418828259	0.3977262614320961	2.126615047817075	0.20798322131027608	0.045057942180669885	2.8929591357481548	0.329658391511721	0.6046501832668817	0.9965905252812038	0.009311719655856034	0.009311719655856029	-46691.479592423704	0.0	-13830.795651003136
54400000	-60574.44763575678	-13892.008741563011	-46682.438894193765	4.639661007705338	377.68983148794916	1.5949717044887493	0.4798590841655329	0.4798590841655329	8.829193840093014	0.3977262614320961	2.126615047817075	0.23109237335015753	0.045057942180669885	2.8929591357481548	0.30654923947183954	0.5719059462118841	0.8989062056984776	0.008744722831704384	0.008744722831704433	-46682.438894193765	0.0	-13877.957741545984
54440000	-60529.739657140366	-13809.758006603017	-46719.981650537346	4.377868622430877	373.24396849911216	1.5870070331667245	0.45256683460321767	0.45256683460321767	8.648086969415232	0.387505756731977	2.118767174360554	0.2254326490583518	0.045057942180669885	2.9166872381966003	0.30654923947183954	0.6348970598115231	0.8845116287442301	0.00884437369640266	0.0088443736964026	-46719.981650537346	0.0	-13795.592008004627
54480000	-60526.79149275008	-13865.006750947101	-46661.784741802985	4.179569774301745	375.5135707426775	1.5870099929398769	0.48491317209557233	0.48491317209557233	8.984945731013868	0.387505756731977	2.118767174360554	0.2254326490583518	0.045057942180669885	2.9166872381966003	0.30654923947183954	0.593589085248788	0.8845116287442301	0.009307772976496705	0.009307772976496735	-46661.784741802985	0.0	-13850.66826837704
